
"SIHO CHAC","CHAMPOTON","04072"
"YOHALTUN","CHAMPOTON","04062"
"ALTAMIRA","ESCARCEGA","04046"
"CAMPO EXPERIMENTAL EL TORMENTO","ESCARCEGA","04055"
"ESCARCEGA","ESCARCEGA","04042"
"ESCARCEGA","ESCARCEGA","04010"
"SILVITUC","ESCARCEGA","04031"
"HECELCHAKAN","HECELCHAKAN","04011"
"HECELCHAKAN","HECELCHAKAN","04043"
"POCBOC","HECELCHAKAN","04087"
"POMUCH","HECELCHAKAN","04085"
"BOLONCHEN","HOPELCHEN","04001"
"CHUNCHINTOK","HOPELCHEN","04076"
"DZIBALCHEN","HOPELCHEN","04009"
"HOPELCHEN","HOPELCHEN","04013"
"ITURBIDE","HOPELCHEN","04017"
"SAN JUAN BAUTISTA","HOPELCHEN","04077"
"XCUPIL","HOPELCHEN","04066"
"XCUPIL","HOPELCHEN","04034"
"XMABEN","HOPELCHEN","04035"
"CAYO ARCAS","INSULAR CAMPECHE","04005"
"CAYO ARENAS","INSULAR CAMPECHE","04006"
"ISLA PEREZ","INSULAR CAMPECHE","04016"
"TRIANGULO OESTE","INSULAR CAMPECHE","04033"
"MOLINO CHUMPAN","PALIZADA","04056"
"PALIZADA","PALIZADA","04024"
"PALMAR DE VISTA ALEGRE","PALIZADA","04025"
"CANKI","TENABO","04075"
"E.T.A. 006 TENABO","TENABO","04050"
"TENABO","TENABO","04073"
"TENABO","TENABO","04032"
"TINUN","TENABO","04059"
"ABASOLO","ABASOLO","05150"
"RODRIGUEZ","ABASOLO","05169"
"REPRESA LA AMISTAD","ACUÑA","05187"
"ALLENDE","ALLENDE","05002"
"ALLENDE I","ALLENDE","05043"
"ALLENDE II","ALLENDE","05075"
"E.T.A. 110 ALLENDE","ALLENDE","05063"
"ARTEAGA","ARTEAGA","05160"
"ARTEAGA","ARTEAGA","05003"
"CIENEGA DE LA PURISIMA","ARTEAGA","05149"
"EL TUNAL","ARTEAGA","05174"
"HUACHICHIL","ARTEAGA","05146"
"JAME","ARTEAGA","05176"
"POTRERO DE ABREGO","ARTEAGA","05148"
"SAN ANTONIO LAS ALAZANAS","ARTEAGA","05035"
"SAN ANTONIO LAS ALAZANAS","ARTEAGA","05049"
"CANDELA","CANDELA","05005"
"EL SAUCILLO","CANDELA","05210"
"BAJAN","CASTAÑOS","05152"
"CASTAÑOS","CASTAÑOS","05153"
"CASTAÑOS","CASTAÑOS","05052"
"EL MARQUEZ","CASTAÑOS","05167"
"EL TANQUITO","CASTAÑOS","05158"
"SANTA TERESA","CASTAÑOS","05038"
"CUATRO CIENEGAS","CUATRO CIENEGAS","05009"
"CUATRO CIENEGAS","CUATRO CIENEGAS","05044"
"E.T.A. 183 CUATRO CIENEGAS","CUATRO CIENEGAS","05061"
"ESTANQUE DE LEON","CUATRO CIENEGAS","05179"
"LAS MORENAS","CUATRO CIENEGAS","05182"
"SAN FRANCISCO DEL VALLE","CUATRO CIENEGAS","05157"
"SANTA TERESA DE SOFIA","CUATRO CIENEGAS","05144"
"EJIDO PRIMERO DE MAYO","ESCOBEDO","05147"
"ACATITA","FRANCISCO I. MADERO","05159"
"DIECIOCHO DE MARZO","FRANCISCO I. MADERO","05185"
"FRANCISCO I. MADERO","FRANCISCO I. MADERO","05180"
"DOS DE ABRIL","GENERAL CEPEDA","05162"
"GENERAL CEPEDA","GENERAL CEPEDA","05016"
"LA ROSA","GENERAL CEPEDA","05170"
"AGUA NUEVA","GUERRERO","05001"
"CABECERAS","JIMENEZ","05186"
"PALESTINA","JIMENEZ","05023"
"PALESTINA","JIMENEZ","05068"
"PRESA CENTENARIO","JIMENEZ","05085"
"PRESA SAN MIGUEL","JIMENEZ","05086"
"DON MARTIN","JUAREZ","05189"
"JUAREZ","JUAREZ","05045"
"PRESA VENUSTIANO CARRANZA","JUAREZ","05030"
"LAMADRID","LAMADRID","05155"
"EL CUIJE","MATAMOROS","05027"
"MATAMOROS","MATAMOROS","05053"
"HUIZACHAL","MONCLOVA","05154"
"MONCLOVA","MONCLOVA","05047"
"MONCLOVA","MONCLOVA","05019"
"SALITRILLOS","MONCLOVA","05188"
